,customerID,gender,SeniorCitizen,Partner,Dependents,months_active,has_cash_card,MultipleLines,digital_access_level,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,subscription_type,PaperlessBilling,PaymentMethod,monthly_spend,total_transaction_value,churned,avg_spend_per_month
0,7590-VHVEG,0,0,1,0,-1.2802480369298874,0,1,0,0,2,0,0,0,0,0,1,2,29.85,-0.9941940877241977,0,-1.1578889425733963
1,5575-GNVDE,1,0,0,0,0.06430268518835193,1,0,0,2,0,2,0,0,0,1,0,3,56.95,-0.17373981825040724,0,-0.30565771102922806
2,3668-QPYBK,1,0,0,0,-1.2395040756535771,1,0,0,2,2,0,0,0,0,0,1,3,53.85,-0.9596491092068434,1,-0.35530461389588164
3,7795-CFOCW,1,0,0,0,0.512486259227765,0,1,0,2,0,2,2,0,0,1,0,0,42.3,-0.19524770717404732,0,-0.7916137874149846
4,9237-HQITU,0,0,0,0,-1.2395040756535771,1,0,1,0,0,0,0,0,0,0,1,2,70.7,-0.94045745447498,1,0.3652819350715464
5,9305-CDSKC,0,0,0,0,-0.9950403079957154,1,2,1,0,0,2,0,2,2,0,1,2,99.65,-0.6453692184426381,1,1.2511064340608156
6,1452-KIOVK,1,0,0,1,-0.42462485012737144,1,2,1,0,2,0,0,2,0,0,1,1,89.1,-0.14731268909089865,0,0.7888241856401756
7,6713-OKOMC,0,0,0,0,-0.9135523854430948,0,1,0,2,0,0,0,0,0,0,0,3,29.75,-0.8741690378436584,0,-1.1466246011182735
8,7892-POOKP,0,0,1,0,-0.18016108246950976,1,2,1,0,0,2,2,2,2,0,1,2,104.8,0.33651554451135574,1,1.4573432739377004
9,6388-TABGU,1,0,0,1,1.2051336009250397,1,0,0,2,2,0,0,0,0,1,0,0,56.15,0.5314762853391823,0,-0.28300549630204186
10,9763-GRSKD,1,0,1,1,-0.791320501614164,1,0,0,2,0,0,0,0,0,0,1,3,49.95,-0.7481879571842651,0,-0.6497193303219193
11,7469-LKBCI,1,0,0,0,-0.6690886177852331,1,0,2,1,1,1,1,1,1,2,0,1,18.95,-0.8631834699626608,0,-1.4701431137926153
12,8091-TTVAX,1,0,1,0,1.0421577558197987,1,2,1,0,0,2,0,2,2,1,0,1,100.35,1.4990665744239262,0,1.0982923900556543
13,0280-XJGEX,1,0,0,0,0.6754621043330061,1,2,1,0,2,2,0,2,2,0,1,0,103.7,1.2145888969272465,1,1.2583663900256645
14,5129-JLPIS,1,0,0,0,-0.3023929662984406,1,0,1,2,0,2,2,2,2,0,1,2,105.5,0.17768805707524432,0,1.4127662991498533
15,3655-SNQYZ,0,0,1,1,1.4903413298592119,1,2,1,2,2,2,2,2,2,2,0,1,113.25,2.475877681529266,0,1.6440319679709485
16,8191-XWSZG,0,0,0,0,0.797693988161937,1,0,2,1,1,1,1,1,1,1,0,3,20.65,-0.5560508161330804,0,-1.4950864943337954
17,9959-WOFKT,1,0,0,1,1.5718292524118322,1,2,1,2,0,2,0,2,2,2,0,0,106.7,2.2495926306793175,0,1.2979148123630952
18,4190-MFLUW,0,0,1,1,-0.9135523854430948,1,0,0,0,0,2,2,0,0,0,0,1,55.2,-0.7742621363716935,1,-0.3963863297910362
19,4183-MYFRB,0,0,0,0,-0.46536881140368175,1,0,1,0,2,2,0,0,2,0,1,2,90.05,-0.18547540482207542,0,0.7921515694160716
20,8779-QRDMV,1,1,0,0,-1.2802480369298874,0,1,0,0,0,2,0,0,2,0,1,2,39.65,-0.9898704505662146,1,-0.8332108653374978
21,1680-VDCWW,1,0,1,0,-0.8320644628904743,1,0,2,1,1,1,1,1,1,1,0,0,19.8,-0.9181333687409043,0,-1.5884463077514437
22,1066-JKSGK,1,0,0,0,-1.2802480369298874,1,0,2,1,1,1,1,1,1,0,0,3,20.15,-0.9984736061356706,1,-1.479253978204847
23,3638-WEABW,0,0,1,0,1.0421577558197987,1,2,0,0,2,0,2,0,0,2,1,1,59.9,0.5390426503656527,0,-0.14466942568205765
24,6322-HRPFA,1,0,1,1,0.6754621043330061,1,0,0,2,2,0,2,0,0,0,0,1,59.6,0.3030955940300073,0,-0.13852013135993813
25,6865-JZNKO,0,0,0,0,-0.09867315991688919,1,0,0,2,2,0,0,0,0,0,1,0,55.3,-0.33208199947490835,0,-0.45651803491176657
26,6467-CHFZW,1,0,1,1,0.5939741817803856,1,2,1,0,2,0,0,2,2,0,1,2,99.35,1.0879019163236925,1,1.200855699299734
27,8665-UTDHZ,1,0,1,1,-1.2802480369298874,0,1,0,0,2,0,0,0,0,0,0,2,30.2,-0.9940396721114126,1,-1.1462932969578283
28,5248-YGIJN,1,0,1,0,1.6125732136881425,1,2,0,2,2,2,2,2,2,2,1,1,90.25,1.802757966025724,0,0.7840365895337481
29,8773-HHUOZ,0,0,0,1,-0.6283446565089229,1,0,0,0,0,0,0,2,2,0,1,3,64.7,-0.5251015154562937,1,-0.016546109841079442
30,3841-NFECX,0,1,1,0,1.5718292524118322,1,2,1,2,2,2,2,0,0,2,1,1,96.35,1.9781299834030968,0,1.0108000941635427
31,4929-XIHVW,1,1,1,0,-1.2395040756535771,1,0,1,0,0,2,0,2,2,0,1,1,95.5,-0.9272218305219706,0,0.8622381757387381
32,6827-IEAUQ,0,0,1,1,-0.22090504374582004,1,0,0,2,2,2,2,0,0,1,0,3,66.15,-0.18037968960016687,0,0.1532165960757254
33,7310-EGVHZ,1,0,0,0,-1.2802480369298874,1,0,2,1,1,1,1,1,1,0,0,0,20.2,-0.9984515467624158,0,-1.477597457402623
34,3413-BMNZE,1,1,0,0,-1.2802480369298874,1,0,0,0,0,0,0,0,0,0,0,0,45.25,-0.9873998007616529,0,-0.6476805354884129
35,6234-RAAPL,0,0,1,1,1.6125732136881425,1,2,1,2,2,0,2,2,0,2,0,0,99.9,2.1919956071104716,0,1.1899992222454423
36,6047-YHPVI,1,0,0,0,-1.1172721918246462,1,0,1,0,0,0,0,0,0,0,1,2,69.7,-0.8675512258671538,1,-0.047026092602000594
37,6572-ADKRS,0,0,0,0,0.5532302205040753,1,0,1,0,0,2,0,0,0,0,1,1,74.8,0.5581019488579861,0,0.408747600469032
38,5380-WJKOV,1,0,0,0,0.06430268518835193,1,2,1,0,2,2,0,2,2,0,1,2,106.35,0.5585210769498313,1,1.3116425251420887
39,8168-UQWWF,0,0,0,0,-0.8728084241667845,1,2,1,0,0,2,0,2,2,0,1,0,97.85,-0.5196749096355598,1,1.1824737653686725
40,8865-TNMNX,1,0,1,1,-0.9135523854430948,1,0,0,0,2,0,0,0,0,1,0,3,49.55,-0.7974906564092247,0,-0.5708179702652205
41,9489-DEDVP,0,0,1,1,1.5310852911355222,1,2,0,2,2,0,0,2,0,2,1,1,69.2,1.142256212024051,0,0.15921074727488427
42,9867-JCZSP,0,0,1,1,-0.6283446565089229,1,0,2,1,1,1,1,1,1,1,0,3,20.75,-0.8228368762792375,0,-1.3317261844067827
43,4671-VJLCL,0,0,0,0,1.24587756220135,1,2,0,2,2,2,2,2,0,2,1,1,79.85,1.1374472686544572,0,0.40970561595023525
44,4080-IIARD,0,0,1,0,-0.791320501614164,1,2,0,2,2,0,2,2,0,0,1,2,76.2,-0.5743600959347432,0,0.35438712517999627
45,3714-NTNFO,0,0,0,0,0.6754621043330061,1,2,1,0,0,0,0,0,2,0,1,2,84.5,0.7162235363499369,0,0.4946088805594607
46,5948-UJZLF,1,0,0,0,-1.2395040756535771,1,0,0,0,2,0,0,0,0,0,0,3,49.25,-0.9645683494427119,0,-0.5400066833438546
47,7760-OYPDY,0,0,0,0,-1.2395040756535771,1,0,1,0,0,0,0,2,0,0,1,2,80.65,-0.9437663604632323,1,0.24104287490474846
48,7639-LIAYI,1,0,0,0,0.797693988161937,1,2,0,2,0,0,2,2,2,2,1,1,79.75,0.8534769567426433,0,0.5404271537374578
49,2954-PIBKO,0,0,1,1,1.4903413298592119,1,2,0,2,0,2,2,0,0,2,1,1,64.15,0.8694920617257846,0,-0.10422167461965812
50,8012-SOUDQ,0,1,0,0,0.4309983366751445,1,2,1,0,2,0,0,2,0,0,1,2,90.25,0.6862448480963709,0,0.8108282452604147
51,9420-LOJKX,0,0,0,0,-0.7098325790615434,1,0,1,2,2,0,0,2,2,0,1,1,99.1,-0.3780537333383605,1,1.0036498348885912
52,6575-SUVOI,0,1,1,0,-0.3023929662984406,1,2,0,2,0,0,2,2,0,0,1,1,69.5,-0.23411632284938455,0,0.1758090857131686
53,7495-OOKFY,0,1,1,0,-0.9950403079957154,1,2,1,0,2,0,0,0,0,0,1,1,80.65,-0.727959511909416,1,0.47585469861999624
54,4667-QONEA,0,1,1,1,1.1236456783724194,1,0,0,2,2,2,2,0,2,1,1,1,74.85,0.9587222265423222,0,0.3138469641624922
55,1658-BYGOY,1,1,0,0,-0.5876006952326126,1,2,1,0,0,0,0,2,2,0,1,2,95.45,-0.23416044159589464,1,1.0788742850962505
56,8769-KKTPH,0,0,1,1,1.24587756220135,1,2,1,2,0,0,0,2,2,1,1,1,99.65,1.7770587961836308,0,1.1720995946880777
57,5067-XJQFU,1,1,1,1,1.368109446030281,1,2,1,0,2,2,2,2,2,1,1,2,108.45,2.114633385105133,0,1.405326010867864
58,3957-SQXML,0,0,1,1,0.06430268518835193,1,2,2,1,1,1,1,1,1,2,0,1,24.95,-0.6128095835182352,0,-1.2754044771311677
59,5954-BDFSG,0,0,0,0,1.6125732136881425,1,2,1,0,0,2,2,2,2,2,1,1,107.5,2.457590461100858,0,1.4670063119506733
60,0434-CSFON,0,0,1,0,0.5939741817803856,1,2,1,0,0,2,0,2,2,0,1,2,100.5,1.0693499834162248,0,1.1712145504769609
61,1215-FIGMP,1,0,0,0,1.1236456783724194,1,2,1,0,2,0,0,2,0,0,1,0,89.9,1.3974169824648146,0,0.8629007840596276
62,0526-SXDJP,1,0,1,0,1.6125732136881425,0,1,0,2,2,2,0,0,0,2,0,0,42.1,0.2994337380696746,0,-0.7838833570046062
63,0557-ASKVU,0,0,1,1,-0.5876006952326126,1,0,0,0,0,2,2,0,0,1,1,1,54.4,-0.5851030107099358,0,-0.38521401726937005
64,5698-BQJOH,0,0,0,0,-0.9542963467194051,1,2,1,0,0,0,0,2,2,0,0,2,94.4,-0.6291555791002016,1,1.0088402667355596
65,5122-CYFXA,0,0,0,0,-1.1987601143772668,1,0,0,0,2,0,2,2,2,0,1,2,75.3,-0.8996696733264564,0,0.5488796573180363
66,8627-ZYGSZ,1,0,1,0,0.5939741817803856,1,2,1,0,2,0,0,0,0,1,1,2,78.9,0.6031251296714726,0,0.42630886632794657
67,3410-YOQBQ,0,0,0,0,-0.05792919864057891,1,0,0,0,2,2,2,2,2,2,0,3,79.2,0.09436980429105073,0,0.5219834593464427
68,3170-NMYVV,0,0,1,1,0.7162060656093164,1,0,2,1,1,1,1,1,1,2,0,0,20.15,-0.5966621222955638,0,-1.5300097755849897
69,7410-OIEDU,1,0,0,0,-0.9135523854430948,1,0,1,2,0,2,0,0,0,0,1,3,79.85,-0.6158758364006823,0,0.7929956062057759
70,2273-QCKXA,1,0,0,0,-1.2802480369298874,1,0,0,0,0,0,2,0,0,0,0,3,49.05,-0.9857232883942716,0,-0.521784954519391
71,0731-EBJQB,0,0,1,1,0.797693988161937,1,0,2,1,1,1,1,1,1,1,1,2,20.4,-0.5261824247457894,0,-1.451953241137425
72,1891-QRQSA,1,1,1,1,1.2866215234776603,1,2,1,2,0,2,2,2,2,2,1,0,111.6,2.124626281189655,0,1.528056005682636
73,8028-PNXHQ,1,0,1,1,1.2051336009250397,1,2,2,1,1,1,1,1,1,2,1,0,24.25,-0.3788478707755411,0,-1.385580398646827
74,5630-AHZIL,0,0,0,1,-1.1987601143772668,1,0,0,2,0,0,2,0,2,0,1,0,64.5,-0.929096877248647,0,-0.18771992607088986
75,2673-CXQEU,0,1,0,0,0.9606698332671781,1,2,1,2,2,2,0,2,2,1,0,2,110.5,1.7013069084259078,0,1.485385804661063
76,6416-JNVRK,0,0,0,0,0.5532302205040753,1,0,0,0,0,0,0,0,2,1,0,1,55.65,0.17892338197752508,0,-0.21025100973592184
77,5590-ZSKRV,0,0,1,1,-0.9950403079957154,1,0,0,2,2,0,0,0,0,0,0,3,54.65,-0.7946008785128177,0,-0.14968896931983114
78,0191-ZHSKZ,1,1,0,0,-0.09867315991688919,1,0,0,2,2,0,0,2,2,0,1,2,74.75,-0.07588443849115852,0,0.18477638498920784
79,3887-PBQAO,0,0,1,1,0.512486259227765,1,2,2,1,1,1,1,1,1,1,1,1,25.9,-0.47061486351640547,0,-1.2511326579519146
80,5919-TMRGD,0,0,0,1,-1.2802480369298874,1,0,1,0,0,0,0,2,0,0,1,2,79.35,-0.9723553082017324,1,0.4820666516283362
81,8108-UXRQN,0,0,1,1,-0.8728084241667845,0,1,0,2,0,0,0,2,2,0,0,2,50.55,-0.757938200162982,0,-0.4440790696150663
82,9191-MYQKX,0,0,1,0,-1.0357842692720256,1,0,1,0,0,2,0,0,0,0,1,0,75.15,-0.7881374821490981,1,0.2049543859991545
83,9919-YLNNG,0,0,0,0,0.3902543753988342,1,0,1,0,2,2,2,2,2,0,1,0,103.8,0.9018752216641471,0,1.2667842202247213
84,0318-ZOPWS,0,0,1,0,0.6754621043330061,1,0,2,1,1,1,1,1,1,2,1,0,20.15,-0.5779337144020558,0,-1.4887198113604125
85,4445-ZJNMU,1,0,0,0,-0.9542963467194051,1,2,1,0,2,0,0,2,2,0,1,1,99.3,-0.6020225499965326,0,1.2352314430395024
86,4808-YNLEU,0,0,1,0,0.10504664646466222,1,0,0,2,0,0,0,2,0,1,1,0,62.15,-0.029934764000961456,0,-0.04972385505133688
87,1862-QRWPE,0,0,1,1,0.6347181430566958,1,0,2,1,1,1,1,1,1,2,0,0,20.65,-0.5410283829464149,0,-1.4172724915216335
88,2796-NNUFI,0,0,1,1,0.5532302205040753,1,0,2,1,1,1,1,1,1,2,1,3,19.95,-0.5983386346629451,0,-1.4791099329176969
89,3016-KSVCP,1,0,1,0,-0.13941712119319946,0,1,0,0,0,0,0,2,0,0,0,3,33.75,-0.5620950844049546,0,-0.99383626174625
90,4767-HZZHQ,1,0,1,1,-0.09867315991688919,1,0,1,0,2,2,0,0,0,0,0,0,82.05,0.1265764892433733,0,0.6915613157495947
91,2424-WVHPL,1,1,0,0,-1.2802480369298874,1,0,1,0,0,0,2,0,0,0,0,2,74.7,-0.9744068299144488,0,0.328010217021507
92,7233-PAHHL,1,0,1,1,1.368109446030281,1,2,0,2,0,2,2,2,2,2,1,3,84.0,1.5136919388920012,0,0.7215845003499025
93,6067-NGCEU,0,0,0,0,1.3273654847539706,1,2,1,2,2,2,0,2,2,0,1,1,111.05,2.128155780910457,0,1.4755968589314374
94,9848-JQJTX,1,0,0,0,1.6125732136881425,1,2,1,0,2,2,0,2,2,2,1,0,100.9,2.283475827999021,0,1.2854102190068701
95,8637-XJIVR,0,0,0,0,-0.8320644628904743,1,2,1,2,0,0,0,0,0,0,1,2,78.95,-0.59822833779667,1,0.41345908173622686
96,9803-FTJCG,1,0,1,1,1.5718292524118322,1,2,0,2,2,0,2,0,0,1,1,1,66.85,1.0877033819643973,0,0.0690330211808578
